07/06/21,08:15:22,BLIN,500,12.77,B,
07/06/21,08:16:03,BLIN,500,12.82,S,
07/06/21,08:27:24,BLIN,500,12.94,B,
07/06/21,08:28:00,BLIN,500,12.95,S,
07/06/21,08:28:27,BLIN,500,13.25,B,
07/06/21,08:29:06,BLIN,500,13.21,S,
07/06/21,08:30:34,BLIN,500,13.42,B,
07/06/21,08:31:13,BLIN,500,13.25,S,
07/06/21,08:31:29,MRIN,500,27.7,B,
07/06/21,08:32:58,MRIN,500,28.03,S,
07/06/21,08:34:21,BLIN,500,13.48,B,
07/06/21,08:34:38,BLIN,500,13.55,B,
07/06/21,08:35:03,BLIN,1000,13.4,S,
07/06/21,08:37:07,BLIN,1000,13.59,B,
07/06/21,08:37:26,BLIN,500,13.74,S,
07/06/21,08:37:47,BLIN,500,13.77,S,
07/06/21,08:39:06,BLIN,500,13.87,B,
07/06/21,08:39:19,BLIN,500,13.9,S,
07/06/21,08:39:42,BLIN,500,13.98,B,
07/06/21,08:39:52,BLIN,500,13.87,S,
07/06/21,08:50:15,BSQR,500,5.59,B,
07/06/21,08:50:50,BSQR,500,5.52,S,
07/06/21,08:51:58,BLIN,1000,13.37,B,
07/06/21,08:52:41,BLIN,500,13.47,S,
07/06/21,08:52:52,BLIN,500,13.43,S,
07/06/21,08:55:35,OSAT,500,7.67,B,
07/06/21,08:56:07,OSAT,500,7.65,S,
07/06/21,09:01:17,BLIN,1000,13.39,B,
07/06/21,09:02:01,BLIN,500,13.57,S,
07/06/21,09:02:09,BLIN,500,13.54,S,
07/06/21,09:07:16,MRIN,500,27.05,B,
07/06/21,09:07:53,MRIN,250,27.36,S,
07/06/21,09:08:09,MRIN,250,27.3,S,
07/06/21,09:09:22,OSAT,100,7.75,B,
07/06/21,09:09:26,OSAT,100,7.89,B,
07/06/21,09:09:35,OSAT,200,8.2,S,
07/06/21,09:23:44,BLIN,100,14.11,B,
07/06/21,09:24:13,BLIN,100,14,S,
07/06/21,09:29:55,OSAT,100,8.93,B,
07/06/21,09:30:11,OSAT,100,9,S,
07/06/21,09:38:16,BLIN,100,13.22,B,
07/06/21,09:38:36,BLIN,100,12.87,S,
07/06/21,09:42:06,BSQR,100,5.6,B,
07/06/21,09:42:10,BSQR,100,5.7,B,
07/06/21,09:42:31,BSQR,200,5.7,S,
07/06/21,09:44:16,CLSD,100,6.61,B,
07/06/21,09:44:27,CLSD,100,6.5,S,
07/06/21,09:45:32,BSQR,100,5.79,B,
07/06/21,09:45:42,BSQR,100,5.53,S,
07/06/21,09:47:03,CLSD,100,6.79,B,
07/06/21,09:47:17,CLSD,100,6.84,B,
07/06/21,09:47:27,CLSD,200,6.9,S,
07/06/21,09:52:01,BLIN,100,13.27,B,
07/06/21,09:52:07,BLIN,100,13.46,B,
07/06/21,09:52:34,BLIN,200,12.72,S,
07/06/21,09:53:46,OSAT,100,8.94,B,
07/06/21,09:54:02,OSAT,100,9.17,B,
07/06/21,09:54:31,OSAT,200,9.05,S,
07/06/21,09:55:01,OSAT,100,9.67,B,
07/06/21,09:56:06,OSAT,100,9.35,S,
