07/02/21,08:10:34,TATT,B,1596,9.28,
07/02/21,08:11:37,TATT,S,798,9.38,
07/02/21,08:11:55,TATT,S,798,9.37,
07/02/21,08:21:00,MRIN,B,100,19.4,
07/02/21,08:21:14,MRIN,S,100,19.2,
07/02/21,08:22:07,MRIN,B,100,19.31,
07/02/21,08:22:15,MRIN,S,100,19.4,
07/02/21,08:26:12,WAVE,B,100,21.4,
07/02/21,08:27:00,WAVE,B,100,21.6,
07/02/21,08:28:24,WAVE,S,200,20.71,
07/02/21,08:28:33,MRIN,B,100,19.59,
07/02/21,08:28:49,MRIN,B,100,19.74,
07/02/21,08:29:12,MRIN,B,100,19.84,
07/02/21,08:29:28,MRIN,S,75,19.91,
07/02/21,08:29:32,MRIN,B,100,20.02,
07/02/21,08:29:38,MRIN,S,81,20.1,
07/02/21,08:29:53,MRIN,S,244,20.73,
07/02/21,08:30:55,MRIN,B,100,20.85,
07/02/21,08:31:07,MRIN,S,100,20.9,
07/02/21,08:32:18,MRIN,B,100,20.93,
07/02/21,08:32:34,MRIN,S,100,20.55,
07/02/21,08:34:45,TATT,B,1627,9.1,
07/02/21,08:36:08,TATT,S,1627,9.1,
07/02/21,08:37:08,TATT,B,500,9.19,
07/02/21,08:37:30,TATT,B,500,9.23,
07/02/21,08:39:38,TATT,S,500,9.14,
07/02/21,08:40:08,TATT,S,500,9.06,
07/02/21,08:47:33,TATT,B,500,9.3,
07/02/21,08:48:03,TATT,B,500,9.34,
07/02/21,08:49:06,TATT,S,1000,9.16,
07/02/21,08:51:51,TATT,B,500,9.32,
07/02/21,08:51:53,TATT,B,1000,9.35,
07/02/21,08:52:03,TATT,S,1500,9.61,
07/02/21,08:52:18,TATT,B,500,9.72,
07/02/21,08:52:31,TATT,S,500,9.85,
07/02/21,09:00:12,TATT,B,100,10.34,
07/02/21,09:01:06,TATT,S,100,10.06,
07/02/21,09:01:16,MRIN,B,100,20.89,
07/02/21,09:01:53,MRIN,S,50,20.96,
07/02/21,09:02:09,MRIN,S,50,20.92,
07/02/21,09:04:30,BLIN,B,100,6.19,
07/02/21,09:05:35,BLIN,S,100,6.18,
07/02/21,09:08:29,BLIN,B,100,6.48,
07/02/21,09:08:39,BLIN,S,100,6.49,
07/02/21,09:10:07,WAVE,B,100,22.98,
07/02/21,09:10:40,WAVE,B,100,23.39,
07/02/21,09:11:28,WAVE,S,200,23.39,
07/02/21,09:14:05,MRIN,B,100,20.95,
07/02/21,09:14:44,MRIN,S,100,20.88,
07/02/21,09:38:38,WAVE,B,100,25.77,
07/02/21,09:43:44,WAVE,S,100,27,
07/02/21,09:51:08,MRIN,B,100,22.88,
07/02/21,09:51:29,MRIN,S,50,23,
07/02/21,09:51:42,MRIN,S,50,22.69,
07/02/21,09:52:31,TATT,B,100,9.58,
07/02/21,09:52:58,TATT,S,100,9.4,
07/02/21,09:53:30,TATT,B,100,9.54,
07/02/21,09:53:53,TATT,S,100,9.08,
