12/8/20,8:55:49,CRIS,B,800,4.53
12/8/20,8:56:01,CRIS,S,800,4.6
12/8/20,9:04:11,CRIS,B,800,4.84
12/8/20,9:05:25,CRIS,S,800,4.75
12/8/20,9:06:08,CRIS,B,800,4.85
12/8/20,9:07:03,CRIS,S,800,4.61
12/8/20,9:13:37,CRIS,B,800,5.11
12/8/20,9:14:02,CRIS,S,800,5.15
12/8/20,9:15:40,CRIS,B,800,5.15
12/8/20,9:16:18,CRIS,S,800,5.18
12/8/20,9:19:53,CRIS,B,800,5.22
12/8/20,9:20:06,CRIS,S,800,5.27
12/8/20,9:21:55,CRIS,B,800,5.4
12/8/20,9:22:13,CRIS,S,800,5.44
12/8/20,9:23:14,CRIS,B,800,5.4
12/8/20,9:24:17,CRIS,S,800,5.45
12/8/20,9:25:02,CRIS,B,800,5.41
12/8/20,9:25:11,CRIS,S,800,5.5
12/8/20,9:30:11,CRIS,B,800,5.48
12/8/20,9:30:18,CRIS,S,800,5.43
12/8/20,9:30:32,CRIS,B,800,5.53
12/8/20,9:30:40,CRIS,S,800,5.57
12/8/20,9:31:08,CRIS,B,800,5.73
12/8/20,9:31:15,CRIS,S,800,5.86
12/8/20,9:34:49,CRIS,B,800,5.44
12/8/20,9:35:03,CRIS,S,800,5.47
12/8/20,9:35:17,CRIS,B,800,5.56
12/8/20,9:35:24,CRIS,S,800,5.7
12/8/20,9:35:56,CRIS,B,800,5.78
12/8/20,9:36:04,CRIS,S,800,5.61
12/8/20,9:36:35,CRIS,B,800,5.94
12/8/20,9:36:46,CRIS,S,800,6.01
12/8/20,9:37:03,CRIS,B,800,6.01
12/8/20,9:37:24,CRIS,S,800,6
12/8/20,9:37:39,CRIS,B,400,6.11
12/8/20,9:37:59,CRIS,S,400,6.14
12/8/20,9:39:24,CRIS,B,400,7
12/8/20,9:40:06,CRIS,S,400,6.71
12/8/20,9:42:21,CRIS,B,800,6.61
12/8/20,9:42:39,CRIS,S,800,6.75
12/8/20,9:43:05,CRIS,B,800,6.72
12/8/20,9:43:53,CRIS,B,800,6.51
12/8/20,9:44:40,CRIS,B,800,6.43
12/8/20,9:45:34,CRIS,B,800,6.31
12/8/20,9:45:50,CRIS,B,800,6.22
12/8/20,9:47:38,CRIS,S,4000,6.55
12/8/20,9:48:37,YQ,B,100,15.19
12/8/20,9:48:58,YQ,S,100,15.2
12/8/20,9:51:19,CRIS,B,100,7.49
12/8/20,9:51:38,CRIS,B,100,7.22
12/8/20,9:52:14,CRIS,S,200,6.99
12/8/20,9:52:54,CRIS,B,100,7.08
12/8/20,9:53:33,CRIS,S,100,7.19
12/8/20,9:56:09,CRIS,B,100,7.44
12/8/20,9:57:20,CRIS,S,100,7.32
12/8/20,10:00:28,LXRX,B,100,2.73
12/8/20,10:01:04,LXRX,S,100,2.68
12/8/20,10:06:19,NURO,B,10,4.4
12/8/20,10:06:36,NURO,S,10,4.52
12/8/20,10:07:22,NURO,B,10,4.72
12/8/20,10:07:52,NURO,B,10,4.69
12/8/20,10:08:23,NURO,B,10,4.49
12/8/20,10:08:51,NURO,B,10,4.5
12/8/20,10:09:24,NURO,B,10,4.5
12/8/20,10:14:09,NURO,S,50,4.7
12/8/20,10:17:54,NURO,B,10,4.65
12/8/20,10:18:23,NURO,S,10,4.53
12/8/20,10:19:45,NURO,B,10,4.66
12/8/20,10:20:52,NURO,S,10,4.46
12/8/20,10:25:45,CRIS,B,10,6.35
12/8/20,10:28:11,CRIS,S,10,6.42
12/8/20,13:26:32,GIGM,B,10,3.75
12/8/20,13:27:21,GIGM,B,10,3.69
12/8/20,13:28:01,GIGM,S,20,3.78
